,word,sociability,ability,negative,positive,uncertain
0,a,-1.0,0.0,0.0,0.0,0.0
1,a-line,0.0,0.0,0.0,0.0,0.0
2,aa,0.0,0.0,0.0,0.0,0.0
3,aardvark,0.0,0.0,0.0,0.0,0.0
4,ab,0.0,0.0,0.0,0.0,0.0
5,aba,0.0,0.0,0.0,0.0,0.0
6,aback,0.0,0.0,0.0,0.0,0.0
7,abacus,0.0,0.0,0.0,0.0,0.0
8,abaft,0.0,0.0,0.0,0.0,0.0
9,abalone,0.0,0.0,0.0,0.0,0.0
10,abandon,0.0,0.0,1.0,0.0,0.0
11,abandoned,0.0,0.0,1.0,0.0,0.0
12,abandoned infant,0.0,0.0,0.0,0.0,0.0
13,abandonedinfant,0.0,0.0,0.0,0.0,0.0
14,abandoning,0.0,0.0,1.0,0.0,0.0
15,abandonment,0.0,0.0,1.0,0.0,0.0
16,abase,0.0,0.0,0.0,0.0,0.0
17,abased,0.0,0.0,0.0,0.0,0.0
18,abasement,0.0,0.0,0.0,0.0,0.0
19,abash,0.0,0.0,0.0,0.0,0.0
20,abashed,0.0,0.0,0.0,0.0,0.0
21,abashedly,0.0,0.0,0.0,0.0,0.0
22,abashes,0.0,0.0,0.0,0.0,0.0
23,abashing,0.0,0.0,0.0,0.0,0.0
24,abashment,0.0,0.0,0.0,0.0,0.0
25,abasing,0.0,0.0,0.0,0.0,0.0
26,abate,0.0,0.0,0.0,0.0,0.0
27,abated,0.0,0.0,0.0,0.0,0.0
28,abatement,0.0,0.0,0.0,0.0,0.0
29,abates,0.0,0.0,0.0,0.0,0.0
30,abating,0.0,0.0,0.0,0.0,0.0
31,abattoir,0.0,0.0,0.0,0.0,0.0
32,abaya,0.0,0.0,0.0,0.0,0.0
33,abbe,0.0,0.0,0.0,0.0,0.0
34,abbess,0.0,0.0,0.0,0.0,0.0
35,abbey,0.0,0.0,0.0,0.0,0.0
36,abbot,0.0,0.0,0.0,0.0,0.0
37,abbreviate,0.0,0.0,0.0,0.0,0.0
38,abbreviated,0.0,0.0,0.0,0.0,0.0
39,abbreviates,0.0,0.0,0.0,0.0,0.0
40,abbreviating,0.0,0.0,0.0,0.0,0.0
41,abbreviation,0.0,0.0,0.0,0.0,0.0
42,abdicate,0.0,0.0,0.0,0.0,0.0
43,abdicated,0.0,0.0,1.0,0.0,0.0
44,abdicates,0.0,0.0,1.0,0.0,0.0
45,abdicating,0.0,0.0,1.0,0.0,0.0
46,abdication,0.0,0.0,1.0,0.0,0.0
47,abdomen,0.0,0.0,0.0,0.0,0.0
48,abdominal,0.0,0.0,0.0,0.0,0.0
49,abduct,0.0,0.0,0.0,0.0,0.0
50,abducted,0.0,0.0,0.0,0.0,0.0
51,abducting,0.0,0.0,0.0,0.0,0.0
52,abduction,0.0,0.0,0.0,0.0,0.0
53,abductor,0.0,0.0,0.0,0.0,0.0
54,abducts,0.0,0.0,0.0,0.0,0.0
55,abeam,0.0,0.0,0.0,0.0,0.0
56,abecedarian,0.0,0.0,0.0,0.0,0.0
57,abed,0.0,0.0,0.0,0.0,0.0
58,aberrant,0.0,0.0,1.0,0.0,0.0
59,aberration,0.0,0.0,1.0,0.0,0.0
60,aberrational,0.0,0.0,1.0,0.0,0.0
61,abet,0.0,0.0,0.0,0.0,0.0
62,abets,0.0,0.0,0.0,0.0,0.0
63,abetted,0.0,0.0,0.0,0.0,0.0
64,abetter,0.0,0.0,0.0,0.0,0.0
65,abetting,0.0,0.0,1.0,0.0,0.0
66,abettor,0.0,0.0,0.0,0.0,0.0
67,abeyance,0.0,0.0,0.0,0.0,1.0
68,abhor,0.0,0.0,0.0,0.0,0.0
69,abhorred,0.0,0.0,0.0,0.0,0.0
70,abhorrence,-1.0,0.0,0.0,0.0,0.0
71,abhorrent,0.0,0.0,0.0,0.0,0.0
72,abhorrently,0.0,0.0,0.0,0.0,0.0
73,abhorring,0.0,0.0,0.0,0.0,0.0
74,abhors,0.0,0.0,0.0,0.0,0.0
75,abidance,0.0,0.0,0.0,0.0,0.0
76,abide,0.0,0.0,0.0,0.0,0.0
77,abided,0.0,0.0,0.0,0.0,0.0
78,abides,0.0,0.0,0.0,0.0,0.0
79,abiding,0.0,0.0,0.0,0.0,0.0
80,abidingly,0.0,0.0,0.0,0.0,0.0
81,ability,0.0,1.0,0.0,0.0,0.0
82,abject,0.0,0.0,0.0,0.0,0.0
83,abjection,0.0,0.0,0.0,0.0,0.0
84,abjectly,0.0,0.0,0.0,0.0,0.0
85,abjectness,0.0,0.0,0.0,0.0,0.0
86,abjectnesses,0.0,0.0,0.0,0.0,0.0
87,abjuration,0.0,0.0,0.0,0.0,0.0
88,abjuratory,0.0,0.0,0.0,0.0,0.0
89,abjure,0.0,0.0,0.0,0.0,0.0
90,abjured,0.0,0.0,0.0,0.0,0.0
91,abjurer,0.0,0.0,0.0,0.0,0.0
92,abjures,0.0,0.0,0.0,0.0,0.0
93,abjuring,0.0,0.0,0.0,0.0,0.0
94,ablate,0.0,0.0,0.0,0.0,0.0
95,ablated,0.0,0.0,0.0,0.0,0.0
96,ablates,0.0,0.0,0.0,0.0,0.0
97,ablating,0.0,0.0,0.0,0.0,0.0
98,ablation,0.0,0.0,0.0,0.0,0.0
99,ablative,0.0,0.0,0.0,0.0,0.0
100,ablaze,0.0,0.0,0.0,0.0,0.0
101,able,0.0,1.0,0.0,1.0,0.0
102,able seaman,0.0,0.0,0.0,0.0,0.0
103,ableism,0.0,0.0,0.0,0.0,0.0
104,abler,0.0,0.0,0.0,0.0,0.0
105,ableseaman,0.0,0.0,0.0,0.0,0.0
106,ablest,0.0,0.0,0.0,0.0,0.0
107,abloom,0.0,0.0,0.0,0.0,0.0
108,ablution,0.0,0.0,0.0,0.0,0.0
109,ably,0.0,0.0,0.0,0.0,0.0
110,abnegate,0.0,0.0,0.0,0.0,0.0
111,abnegated,0.0,0.0,0.0,0.0,0.0
112,abnegates,0.0,0.0,0.0,0.0,0.0
113,abnegating,0.0,0.0,0.0,0.0,0.0
114,abnegation,0.0,0.0,0.0,0.0,0.0
115,abnormal,0.0,0.0,1.0,0.0,0.0
116,abnormal psychology,0.0,0.0,0.0,0.0,0.0
117,abnormality,0.0,0.0,1.0,0.0,0.0
118,abnormally,0.0,0.0,1.0,0.0,0.0
119,abnormalpsychology,0.0,0.0,0.0,0.0,0.0
120,aboard,0.0,0.0,0.0,0.0,0.0
121,abode,0.0,0.0,0.0,0.0,0.0
122,abolish,0.0,0.0,1.0,0.0,0.0
123,abolished,0.0,0.0,1.0,0.0,0.0
124,abolishes,0.0,0.0,1.0,0.0,0.0
125,abolishing,0.0,0.0,1.0,0.0,0.0
126,abolishment,0.0,0.0,0.0,0.0,0.0
127,abolition,0.0,0.0,0.0,0.0,0.0
128,abolitionism,0.0,0.0,0.0,0.0,0.0
129,abolitionist,0.0,0.0,0.0,0.0,0.0
130,abominable,0.0,0.0,0.0,0.0,0.0
131,abominable snowman,0.0,0.0,0.0,0.0,0.0
132,abominablesnowman,0.0,0.0,0.0,0.0,0.0
133,abominably,0.0,0.0,0.0,0.0,0.0
134,abominate,0.0,0.0,0.0,0.0,0.0
135,abominated,0.0,0.0,0.0,0.0,0.0
136,abominates,0.0,0.0,0.0,0.0,0.0
137,abominating,0.0,0.0,0.0,0.0,0.0
138,abomination,0.0,0.0,0.0,0.0,0.0
139,aboriginal,0.0,0.0,0.0,0.0,0.0
140,aborigine,0.0,0.0,0.0,0.0,0.0
141,aborning,0.0,0.0,0.0,0.0,0.0
142,abort,0.0,0.0,0.0,0.0,0.0
143,aborted,0.0,0.0,0.0,0.0,0.0
144,aborting,0.0,0.0,0.0,0.0,0.0
145,abortion,0.0,0.0,0.0,0.0,0.0
146,abortionist,0.0,0.0,0.0,0.0,0.0
147,abortive,0.0,0.0,0.0,0.0,0.0
148,abortively,0.0,0.0,0.0,0.0,0.0
149,abound,0.0,0.0,0.0,0.0,0.0
150,abounded,0.0,0.0,0.0,0.0,0.0
151,abounding,0.0,0.0,0.0,0.0,0.0
152,abounds,0.0,0.0,0.0,0.0,0.0
153,about,0.0,0.0,0.0,0.0,0.0
154,abouts,0.0,0.0,0.0,0.0,0.0
155,above,0.0,0.0,0.0,0.0,0.0
156,aboveboard,0.0,0.0,0.0,0.0,0.0
157,aboveground,0.0,0.0,0.0,0.0,0.0
158,abovementioned,0.0,0.0,0.0,0.0,0.0
159,abracadabra,0.0,0.0,0.0,0.0,0.0
160,abrade,0.0,0.0,0.0,0.0,0.0
161,abraded,0.0,0.0,0.0,0.0,0.0
162,abrades,0.0,0.0,0.0,0.0,0.0
163,abrading,0.0,0.0,0.0,0.0,0.0
164,abrasion,0.0,0.0,0.0,0.0,0.0
165,abrasive,-1.0,0.0,0.0,0.0,0.0
166,abrasively,0.0,0.0,0.0,0.0,0.0
167,abrasivenes,-1.0,0.0,0.0,0.0,0.0
168,abrasiveness,-1.0,0.0,0.0,0.0,0.0
169,abreast,0.0,0.0,0.0,0.0,0.0
170,abridge,0.0,0.0,0.0,0.0,0.0
171,abridged,0.0,0.0,0.0,0.0,0.0
172,abridgement,0.0,0.0,0.0,0.0,0.0
173,abridges,0.0,0.0,0.0,0.0,0.0
174,abridging,0.0,0.0,0.0,0.0,0.0
175,abridgment,0.0,0.0,0.0,0.0,0.0
176,abroad,0.0,0.0,0.0,0.0,0.0
177,abrogate,0.0,0.0,1.0,0.0,0.0
178,abrogated,0.0,0.0,1.0,0.0,0.0
179,abrogates,0.0,0.0,1.0,0.0,0.0
180,abrogating,0.0,0.0,1.0,0.0,0.0
181,abrogation,0.0,0.0,1.0,0.0,0.0
182,abrogator,0.0,0.0,0.0,0.0,0.0
183,abrupt,0.0,0.0,1.0,0.0,0.0
184,abrupter,0.0,0.0,0.0,0.0,0.0
185,abruptest,0.0,0.0,0.0,0.0,0.0
186,abruptly,0.0,0.0,1.0,0.0,0.0
187,abruptnes,-1.0,0.0,0.0,0.0,0.0
188,abruptness,-1.0,0.0,1.0,0.0,0.0
189,abruptness,-1.0,0.0,0.0,0.0,0.0
190,abscess,0.0,0.0,0.0,0.0,0.0
191,abscessed,0.0,0.0,0.0,0.0,0.0
192,abscessing,0.0,0.0,0.0,0.0,0.0
193,abscissa,0.0,0.0,0.0,0.0,0.0
194,abscission,0.0,0.0,0.0,0.0,0.0
195,abscond,0.0,0.0,0.0,0.0,0.0
196,absconded,0.0,0.0,0.0,0.0,0.0
197,absconder,0.0,0.0,0.0,0.0,0.0
198,absconding,0.0,0.0,0.0,0.0,0.0
199,absconds,0.0,0.0,0.0,0.0,0.0
200,abseil,0.0,0.0,0.0,0.0,0.0
201,abseiled,0.0,0.0,0.0,0.0,0.0
202,abseiling,0.0,0.0,0.0,0.0,0.0
203,absence,0.0,0.0,1.0,0.0,0.0
204,absent,0.0,0.0,0.0,0.0,0.0
205,absented,0.0,0.0,0.0,0.0,0.0
206,absentee,0.0,0.0,0.0,0.0,0.0
207,absenteeism,0.0,0.0,1.0,0.0,0.0
208,absenteeism,0.0,0.0,0.0,0.0,0.0
209,absenting,0.0,0.0,0.0,0.0,0.0
210,absently,0.0,0.0,0.0,0.0,0.0
211,absentminded,0.0,-1.0,0.0,0.0,0.0
212,absentmindedly,0.0,0.0,0.0,0.0,0.0
213,absentmindedness,0.0,0.0,0.0,0.0,0.0
214,absents,0.0,0.0,0.0,0.0,0.0
215,absinth,0.0,0.0,0.0,0.0,0.0
216,absinthe,0.0,0.0,0.0,0.0,0.0
217,absolute,0.0,0.0,0.0,0.0,0.0
218,absolutely,0.0,0.0,0.0,0.0,0.0
219,absoluteness,0.0,0.0,0.0,0.0,0.0
220,absolutest,0.0,0.0,0.0,0.0,0.0
221,absolution,0.0,0.0,0.0,0.0,0.0
222,absolutism,0.0,0.0,0.0,0.0,0.0
223,absolutist,0.0,0.0,0.0,0.0,0.0
224,absolve,0.0,0.0,0.0,0.0,0.0
225,absolved,0.0,0.0,0.0,0.0,0.0
226,absolves,0.0,0.0,0.0,0.0,0.0
227,absolving,0.0,0.0,0.0,0.0,0.0
228,absorb,0.0,1.0,0.0,0.0,0.0
229,absorbable,0.0,0.0,0.0,0.0,0.0
230,absorbed,0.0,0.0,0.0,0.0,0.0
231,absorbency,0.0,0.0,0.0,0.0,0.0
232,absorbent,0.0,0.0,0.0,0.0,0.0
233,absorber,0.0,0.0,0.0,0.0,0.0
234,absorbing,0.0,0.0,0.0,0.0,0.0
235,absorbingly,0.0,0.0,0.0,0.0,0.0
236,absorbs,0.0,0.0,0.0,0.0,0.0
237,absorption,0.0,1.0,0.0,0.0,0.0
238,absorptive,0.0,0.0,0.0,0.0,0.0
239,abstain,0.0,0.0,0.0,0.0,0.0
240,abstained,0.0,0.0,0.0,0.0,0.0
241,abstainer,0.0,0.0,0.0,0.0,0.0
242,abstaining,0.0,0.0,0.0,0.0,0.0
243,abstains,0.0,0.0,0.0,0.0,0.0
244,abstemiou,0.0,0.0,0.0,0.0,0.0
245,abstemious,0.0,0.0,0.0,0.0,0.0
246,abstemiously,0.0,0.0,0.0,0.0,0.0
247,abstemiousnes,0.0,0.0,0.0,0.0,0.0
248,abstemiousness,0.0,0.0,0.0,0.0,0.0
249,abstention,0.0,0.0,0.0,0.0,0.0
250,abstinence,0.0,0.0,0.0,0.0,0.0
251,abstinent,0.0,0.0,0.0,0.0,0.0
252,abstract,0.0,1.0,0.0,0.0,0.0
253,abstracted,0.0,0.0,0.0,0.0,0.0
254,abstractedly,0.0,0.0,0.0,0.0,0.0
255,abstractedness,0.0,0.0,0.0,0.0,0.0
256,abstracting,0.0,0.0,0.0,0.0,0.0
257,abstraction,0.0,0.0,0.0,0.0,0.0
258,abstractionism,0.0,0.0,0.0,0.0,0.0
259,abstractionist,0.0,0.0,0.0,0.0,0.0
260,abstractly,0.0,0.0,0.0,0.0,0.0
261,abstractness,0.0,0.0,0.0,0.0,0.0
262,abstractor,0.0,0.0,0.0,0.0,0.0
263,abstruse,0.0,0.0,0.0,0.0,0.0
264,abstrusely,0.0,0.0,0.0,0.0,0.0
265,abstruseness,0.0,0.0,0.0,0.0,0.0
266,absurd,0.0,-1.0,0.0,0.0,0.0
267,absurder,0.0,0.0,0.0,0.0,0.0
268,absurdest,0.0,0.0,0.0,0.0,0.0
269,absurdity,0.0,-1.0,0.0,0.0,0.0
270,absurdly,0.0,0.0,0.0,0.0,0.0
271,absurdness,0.0,0.0,0.0,0.0,0.0
272,abundance,0.0,0.0,0.0,1.0,0.0
273,abundance,0.0,0.0,0.0,0.0,0.0
274,abundant,0.0,0.0,0.0,1.0,0.0
275,abundantly,0.0,0.0,0.0,0.0,0.0
276,abuse,0.0,0.0,1.0,0.0,0.0
277,abused,0.0,0.0,1.0,0.0,0.0
278,abuser,0.0,0.0,0.0,0.0,0.0
279,abusing,0.0,0.0,1.0,0.0,0.0
280,abusive,0.0,0.0,1.0,0.0,0.0
281,abusively,0.0,0.0,1.0,0.0,0.0
282,abusiveness,0.0,0.0,1.0,0.0,0.0
283,abusivenesses,0.0,0.0,0.0,0.0,0.0
284,abut,0.0,0.0,0.0,0.0,0.0
285,abutment,0.0,0.0,0.0,0.0,0.0
286,abuts,0.0,0.0,0.0,0.0,0.0
287,abutted,0.0,0.0,0.0,0.0,0.0
288,abutting,0.0,0.0,0.0,0.0,0.0
289,abuzz,0.0,0.0,0.0,0.0,0.0
290,abysmal,0.0,0.0,0.0,0.0,0.0
291,abysmally,0.0,0.0,0.0,0.0,0.0
292,abyss,0.0,0.0,0.0,0.0,0.0
293,abyssal,0.0,0.0,0.0,0.0,0.0
294,acacia,0.0,0.0,0.0,0.0,0.0
295,academe,0.0,0.0,0.0,0.0,0.0
296,academia,0.0,0.0,0.0,0.0,0.0
297,academic,0.0,0.0,0.0,0.0,0.0
298,academically,0.0,0.0,0.0,0.0,0.0
299,academician,0.0,0.0,0.0,0.0,0.0
300,academy,0.0,0.0,0.0,0.0,0.0
301,acadian,0.0,0.0,0.0,0.0,0.0
302,acanthosis nigricans,0.0,0.0,0.0,0.0,0.0
303,acanthosisnigrican,0.0,0.0,0.0,0.0,0.0
304,acanthosisnigricans,0.0,0.0,0.0,0.0,0.0
305,acanthus,0.0,0.0,0.0,0.0,0.0
306,accede,0.0,0.0,0.0,0.0,0.0
307,acceded,0.0,0.0,0.0,0.0,0.0
308,accedes,0.0,0.0,0.0,0.0,0.0
309,acceding,0.0,0.0,0.0,0.0,0.0
310,accelerant,0.0,0.0,0.0,0.0,0.0
311,accelerate,0.0,0.0,0.0,0.0,0.0
312,accelerated,0.0,0.0,0.0,0.0,0.0
313,accelerates,0.0,0.0,0.0,0.0,0.0
314,accelerating,0.0,0.0,0.0,0.0,0.0
315,acceleration,0.0,0.0,0.0,0.0,0.0
316,accelerator,0.0,0.0,0.0,0.0,0.0
317,accelerometer,0.0,0.0,0.0,0.0,0.0
318,accent,0.0,0.0,0.0,0.0,0.0
319,accented,0.0,0.0,0.0,0.0,0.0
320,accenting,0.0,0.0,0.0,0.0,0.0
321,accentual,0.0,0.0,0.0,0.0,0.0
322,accentuate,0.0,0.0,0.0,0.0,0.0
323,accentuated,0.0,0.0,0.0,0.0,0.0
324,accentuates,0.0,0.0,0.0,0.0,0.0
325,accentuating,0.0,0.0,0.0,0.0,0.0
326,accentuation,0.0,0.0,0.0,0.0,0.0
327,accept,0.0,0.0,0.0,0.0,0.0
328,acceptability,0.0,0.0,0.0,0.0,0.0
329,acceptable,0.0,0.0,0.0,0.0,0.0
330,acceptableness,0.0,0.0,0.0,0.0,0.0
331,acceptably,0.0,0.0,0.0,0.0,0.0
332,acceptance,0.0,0.0,0.0,0.0,0.0
333,acceptation,0.0,0.0,0.0,0.0,0.0
334,accepted,0.0,0.0,0.0,0.0,0.0
335,accepting,0.0,0.0,0.0,0.0,0.0
336,acceptor,0.0,0.0,0.0,0.0,0.0
337,accepts,0.0,0.0,0.0,0.0,0.0
338,access,0.0,0.0,0.0,0.0,0.0
339,accessary,1.0,0.0,0.0,0.0,0.0
340,accessed,0.0,0.0,0.0,0.0,0.0
