original word,preprocessed word 1 (lacksknowledge to NA),preprocessed word 2 (no spaces),preprocessed word 3 (lemmatized),preprocessed word 4 (minus one trailing s),Sociability dictionary,Sociability direction,Ability dictionary,Ability direction
aa,aa,aa,aa,aa,0,NA,0,NA
ab,ab,ab,ab,ab,0,NA,0,NA
aba,aba,aba,aba,aba,0,NA,0,NA
abandon,abandon,abandon,abandon,abandon,0,NA,0,NA
abandoned infant,abandoned infant,abandonedinfant,abandonedinfant,abandonedinfant,0,NA,0,NA
abase,abase,abase,abase,abase,0,NA,0,NA
abaya,abaya,abaya,abaya,abaya,0,NA,0,NA
abbe,abbe,abbe,abbe,abbe,0,NA,0,NA
abbess,abbess,abbess,abbess,abbes,0,NA,0,NA
abbot,abbot,abbot,abbot,abbot,0,NA,0,NA
abbreviate,abbreviate,abbreviate,abbreviate,abbreviate,0,NA,0,NA
abdomen,abdomen,abdomen,abdomen,abdomen,0,NA,0,NA
abdominal,abdominal,abdominal,abdominal,abdominal,0,NA,0,NA
abduct,abduct,abduct,abduct,abduct,0,NA,0,NA
abduction,abduction,abduction,abduction,abduction,0,NA,0,NA
abductor,abductor,abductor,abductor,abductor,0,NA,0,NA
Abecedarian,abecedarian,abecedarian,abecedarian,abecedarian,0,NA,0,NA
aberrant,aberrant,aberrant,aberrant,aberrant,0,NA,0,NA
abet,abet,abet,abet,abet,0,NA,0,NA
abetter,abetter,abetter,abetter,abetter,0,NA,0,NA
abettor,abettor,abettor,abettor,abettor,0,NA,0,NA
abhor,abhor,abhor,abhor,abhor,0,NA,0,NA
abhorrence,abhorrence,abhorrence,abhorrence,abhorrence,1,-1,0,NA
abhorrent,abhorrent,abhorrent,abhorrent,abhorrent,0,NA,0,NA
abide,abide,abide,abide,abide,0,NA,0,NA
ability,ability,ability,ability,ability,0,NA,1,1
abject,abject,abject,abject,abject,0,NA,0,NA
able,able,able,able,able,0,NA,1,1
able seaman,able seaman,ableseaman,ableseaman,ableseaman,0,NA,0,NA
ableism,ableism,ableism,ableism,ableism,0,NA,0,NA
abnegation,abnegation,abnegation,abnegation,abnegation,0,NA,0,NA
abnormal,abnormal,abnormal,abnormal,abnormal,0,NA,0,NA
abnormal psychology,abnormal psychology,abnormalpsychology,abnormalpsychology,abnormalpsychology,0,NA,0,NA
abnormality,abnormality,abnormality,abnormality,abnormality,0,NA,0,NA
abolitionism,abolitionism,abolitionism,abolitionism,abolitionism,0,NA,0,NA
abolitionist,abolitionist,abolitionist,abolitionist,abolitionist,0,NA,0,NA
abominable,abominable,abominable,abominable,abominable,0,NA,0,NA
abominable snowman,abominable snowman,abominablesnowman,abominablesnowman,abominablesnowman,0,NA,0,NA
abominate,abominate,abominate,abominate,abominate,0,NA,0,NA
abomination,abomination,abomination,abomination,abomination,0,NA,0,NA
Aborigine,aborigine,aborigine,aborigine,aborigine,0,NA,0,NA
about,about,about,about,about,0,NA,0,NA
aboveboard,aboveboard,aboveboard,aboveboard,aboveboard,0,NA,0,NA
abrade,abrade,abrade,abrade,abrade,0,NA,0,NA
abrasion,abrasion,abrasion,abrasion,abrasion,0,NA,0,NA
abrasive,abrasive,abrasive,abrasive,abrasive,1,-1,0,NA
abrasiveness,abrasiveness,abrasiveness,abrasiveness,abrasivenes,1,-1,0,NA
abridge,abridge,abridge,abridge,abridge,0,NA,0,NA
abruptness,abruptness,abruptness,abruptness,abruptnes,1,-1,0,NA
abscessed,abscessed,abscessed,abscessed,abscessed,0,NA,0,NA
abscond,abscond,abscond,abscond,abscond,0,NA,0,NA
absconder,absconder,absconder,absconder,absconder,0,NA,0,NA
absentminded,absentminded,absentminded,absentminded,absentminded,0,NA,1,-1
absolutism,absolutism,absolutism,absolutism,absolutism,0,NA,0,NA
absolutist,absolutist,absolutist,absolutist,absolutist,0,NA,0,NA
absorb,absorb,absorb,absorb,absorb,0,NA,1,1
absorption,absorption,absorption,absorption,absorption,0,NA,1,1
abstemious,abstemious,abstemious,abstemious,abstemiou,0,NA,0,NA
abstemiousness,abstemiousness,abstemiousness,abstemiousness,abstemiousnes,0,NA,0,NA
abstract,abstract,abstract,abstract,abstract,0,NA,1,1
abstraction,abstraction,abstraction,abstraction,abstraction,0,NA,0,NA
abstractionism,abstractionism,abstractionism,abstractionism,abstractionism,0,NA,0,NA
abstractionist,abstractionist,abstractionist,abstractionist,abstractionist,0,NA,0,NA
abstractor,abstractor,abstractor,abstractor,abstractor,0,NA,0,NA
absurd,absurd,absurd,absurd,absurd,0,NA,1,-1
absurdity,absurdity,absurdity,absurdity,absurdity,0,NA,1,-1
abundant,abundant,abundant,abundant,abundant,0,NA,0,NA
abuse,abuse,abuse,abuse,abuse,0,NA,0,NA
abuser,abuser,abuser,abuser,abuser,0,NA,0,NA
academic,academic,academic,academic,academic,0,NA,0,NA
Acadian,acadian,acadian,acadian,acadian,0,NA,0,NA
acanthosis nigricans,acanthosis nigricans,acanthosisnigricans,acanthosisnigricans,acanthosisnigrican,0,NA,0,NA
accede,accede,accede,accede,accede,0,NA,0,NA
accent,accent,accent,accent,accent,0,NA,0,NA
accept,accept,accept,accept,accept,0,NA,0,NA
acceptable,acceptable,acceptable,acceptable,acceptable,0,NA,0,NA
acceptance,acceptance,acceptance,acceptance,acceptance,0,NA,0,NA
accessary,accessary,accessary,accessary,accessary,1,1,0,NA
accessibility,accessibility,accessibility,accessibility,accessibility,1,1,0,NA
accessory,accessory,accessory,accessory,accessory,1,1,0,NA
accommodate,accommodate,accommodate,accommodate,accommodate,1,1,0,NA
accommodating,accommodating,accommodating,accommodate,accommodate,1,1,0,NA
accommodative,accommodative,accommodative,accommodative,accommodative,1,1,0,NA
accommodator,accommodator,accommodator,accommodator,accommodator,0,NA,0,NA
accompany,accompany,accompany,accompany,accompany,0,NA,0,NA
accomplice,accomplice,accomplice,accomplice,accomplice,0,NA,0,NA
accomplished,accomplished,accomplished,accomplish,accomplish,0,NA,1,1
accomplishment,accomplishment,accomplishment,accomplishment,accomplishment,0,NA,1,1
account,account,account,account,account,0,NA,0,NA
accountability,accountability,accountability,accountability,accountability,0,NA,0,NA
accountable,accountable,accountable,accountable,accountable,0,NA,0,NA
accountant,accountant,accountant,accountant,accountant,0,NA,0,NA
